"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALPK3",350.453476516084,1.60334070133372,0.45355502784686,3.53505220512092,0.000407694603484577,0.00336689903598195
"ALPL",124.643943809728,-4.35070498779248,0.668787896826713,-6.50535843790812,7.75083437914936e-11,6.23317100232882e-09
"ALYREF",168.14344889135,2.26295991448831,0.891622320806452,2.5380251948398,0.0111479958500994,0.0448166960762714
"AMDHD1",200.704421290052,2.39399484373876,0.435407610623661,5.49828433248949,3.8350420346593e-08,1.41379072715795e-06
"AMDHD2",361.492016320857,2.50746677224783,0.769290529704056,3.25945358148689,0.00111627045469844,0.00748836123394069
"AMER2",48.473141391019,-1.52058505101887,0.589085760976127,-2.58126261361204,0.00984396664777911,0.0408081627152996
"AMMECR1",265.225374272897,-1.81542312335848,0.412101397458008,-4.40528261868723,1.05646049015464e-05,0.000172846989463856
"AMPD1",16.8348888150222,-4.89116082700767,1.5176958513083,-3.22275429743801,0.00126964410378848,0.00830222360851067
"AMTN",63.9424412588689,-8.86993579457537,2.95074783794913,-3.00599586331995,0.00264712598956399,0.0147635013243468
"AMY2B",523.824458576444,-1.13198270938182,0.369466100656666,-3.06383375191907,0.00218520307157211,0.0126912318169581
"ANAPC1",1404.21069562929,-1.38870963663095,0.331284039361877,-4.1919002174264,2.76627667367402e-05,0.000377880972464073
"ANAPC10",229.123198266947,-1.21390732292325,0.38969551691331,-3.11501485194988,0.00183935648289385,0.011086166725547
"ANAPC1P4",74.6350075280145,-2.25150809498358,0.513629129209094,-4.38352882837962,1.16772188086499e-05,0.000186910475055951
"ANAPC2",399.957339981728,2.31819894426682,0.604140817885472,3.83718311300444,0.000124453673497072,0.00129681508057765
"ANAPC7",401.318362104283,1.18237529365444,0.324037056841574,3.64888912761763,0.000263376733857142,0.00237682605431984
"ANGEL2",860.815939728514,-1.34098965101374,0.331068516256208,-4.05048980850832,5.11105357619885e-05,0.000633529226374828
"ANGPTL4",388.319992424365,3.95175312253545,0.822117424698799,4.8067988876203,1.53366130112922e-06,3.32832872575855e-05
"ANGPTL5",546.249428960422,1.80133021126978,0.597476276106979,3.0148983035893,0.00257065433398768,0.0144361631545925
"ANGPTL7",541.389896363478,-2.63137365334385,1.04509913101294,-2.51782206611678,0.0118082957566524,0.046838633765051
"ANKRD11",3035.48868700682,1.01898942102644,0.373730533015331,2.7265351128928,0.00640031424694668,0.0291966759700605
"ANKRD13B",214.3649694915,3.1871177264213,0.573752888342225,5.5548613195308,2.77832250249856e-08,1.07177686634103e-06
"ANKRD20A3P",130.709311492552,-1.64566984652735,0.480375542047818,-3.42579857315786,0.000612994790980997,0.00466268806686689
"ANKRD20A4P",31.62563884539,-2.00963541443071,0.616511763969016,-3.2596870520247,0.00111535206618715,0.00748471790310784
"ANKRD20A5P",109.337129795032,-1.59261643166821,0.592053747484227,-2.68998623593822,0.00714549661526909,0.0318742528505763
"ANKRD24",30.4080503529045,3.32624421852329,0.829421673128275,4.01031746129554,6.06371638361066e-05,0.000725463464635459
"ANKRD28",2591.27450315633,-1.35347547135767,0.304284641192643,-4.4480571416708,8.66504812849071e-06,0.000146862563407883
